55	BrandanWright	Hou	PF	30	1	15.3	4	2	0	0	1	0
79	ChinanuOnuaku	Hou	PF	21	1	21.6	4	4	1	0	0	3
211	HenryEllenson	Det	PF	21	38	8.7	4	2.1	0.5	0.13	0	0.47
306	JordanMickey	Mia	PF	23	23	12.4	4	3.6	0.4	0.26	0.43	0.78
341	KevonLooney	Gol	PF	21	66	13.8	4	3.3	0.6	0.5	0.83	0.47
11	AlecPeters	Pho	PF	22	20	11.2	4.1	1.9	0.6	0.1	0.1	0.2
359	LanceThomas	Nyk	PF	29	73	18.5	4.1	2.4	0.6	0.41	0.19	0.55
6	AdreianPayne	Orl	PF	26	5	8.5	4.2	1.8	0	0.4	0	0.4
218	IsaiahHicks	Nyk	PF	23	18	13.3	4.4	2.3	0.9	0.11	0.22	0.89
435	NerlensNoel	Dal	PF	23	30	15.7	4.4	5.6	0.7	1.03	0.73	0.87
19	AmirJohnson	Phi	PF	30	74	15.8	4.6	4.5	1.6	0.61	0.59	0.74
302	JordanBell	Gol	PF	23	57	14.2	4.6	3.6	1.8	0.61	0.98	0.89
557	TrevorBooker	Phi	PF	30	33	15	4.7	3.7	0.8	0.48	0.33	0.61
566	TylerCavanaugh	Atl	PF	23	39	13.3	4.7	3.3	0.7	0.23	0.1	0.36
295	JohnnyO'BryantIII	Cha	PF	24	36	10.5	4.8	2.6	0.4	0.22	0.17	0.42
537	ThonMaker	Mil	PF	20	74	16.7	4.8	3	0.6	0.51	0.72	0.59
78	CheickDiallo	Nor	PF	21	52	11.2	4.9	4	0.4	0.21	0.4	0.52
592	WillieReed	Lac	PF	27	39	10.7	4.9	3.1	0.2	0.23	0.56	0.49
54	BrandanWright	Mem	PF	30	27	13.5	5	3.4	0.5	0.48	0.93	0.3
103	DanielTheis	Bos	PF	25	63	14.9	5.3	4.3	0.9	0.48	0.76	0.89
165	EdDavis	Por	PF	28	78	18.9	5.3	7.4	0.5	0.41	0.67	0.85
296	JonLeuer	Det	PF	28	8	17.1	5.4	4	0.6	0.13	0.38	0.88
558	TrevorBooker	Ind	PF	30	17	15.8	5.4	4.5	1	0.24	0.29	0.53
224	IvanRabb	Mem	PF	20	36	14.3	5.6	4.4	0.9	0.33	0.36	0.97
243	JameelWarney	Dal	PF	24	3	8.9	5.7	3	0	0	0	0.33
297	JonasJerebko	Uta	PF	30	74	15.3	5.8	3.3	0.6	0.32	0.16	0.36
118	DavisBertans	San	PF	25	77	14.1	5.9	2	1	0.34	0.36	0.47
154	DorianFinney-Smith	Dal	PF	24	21	21.3	5.9	3.6	1.2	0.48	0.19	1
204	GorguiDieng	Min	PF	28	79	16.9	5.9	4.6	0.9	0.57	0.49	0.75
336	KennethFaried	Den	PF	28	32	14.4	5.9	4.8	0.6	0.38	0.41	0.72
471	QuincyAcy	Bro	PF	27	70	19.4	5.9	3.7	0.8	0.47	0.41	0.86
157	DraganBender	Pho	PF	20	82	25.2	6.5	4.4	1.6	0.27	0.65	1.37
486	RichaunHolmes	Phi	PF	24	48	15.5	6.5	4.4	1.3	0.42	0.6	0.52
377	LukeKornet	Nyk	PF	22	20	16.3	6.7	3.2	1.3	0.25	0.8	0.6
117	DavidWest	Gol	PF	37	73	13.7	6.8	3.3	1.9	0.64	1.03	1.1
433	NemanjaBjelica	Min	PF	29	67	20.5	6.8	4.1	1.3	0.75	0.24	0.78
40	BamAdebayo	Mia	PF	20	69	19.8	6.9	5.5	1.5	0.46	0.59	0.96
86	CodyZeller	Cha	PF	25	33	19	7.1	5.4	0.9	0.42	0.64	1
354	KyleO'Quinn	Nyk	PF	27	77	18	7.1	6.1	2.1	0.45	1.27	1.3
426	MirzaTeletovic	Mil	PF	32	10	15.9	7.1	2.3	1	0.4	0.1	0.7
459	PascalSiakam	Tor	PF	23	81	20.7	7.3	4.5	2	0.77	0.52	0.83
371	LucMbahaMoute	Hou	PF	31	61	25.6	7.5	3	0.9	1.18	0.41	1.11
259	JarellMartin	Mem	PF	23	73	22.8	7.7	4.4	1	0.53	0.68	1.18
401	MarqueseChriss	Pho	PF	20	72	21.2	7.7	5.5	1.2	0.71	0.97	1.49
363	LarryNanceJr.	Lal	PF	25	42	21.9	8.6	6.8	1.4	1.4	0.48	0.98
294	JohnathanMotley	Dal	PF	22	11	16	8.7	4.5	0.6	0.27	0.18	0.82
520	SkalLabissiere	Sac	PF	21	60	20.7	8.7	4.8	1.2	0.42	0.82	1.22
421	MikeScott	Was	PF	29	76	18.5	8.8	3.3	1.1	0.3	0.13	1.04
31	AnthonyTolliver	Det	PF	32	79	22.2	8.9	3.1	1.1	0.41	0.27	0.73
364	LarryNanceJr.	Cle	PF	25	24	20.8	8.9	7	1	1.21	0.75	0.42
501	RyanAnderson	Hou	PF	29	66	26.1	9.3	5	0.9	0.36	0.32	0.65
406	MarvinWilliams	Cha	PF	31	78	25.7	9.5	4.7	1.2	0.72	0.49	0.85
560	TreyLyles	Den	PF	22	73	19.1	9.9	4.8	1.2	0.41	0.47	0.84
556	TrevorBooker	Bro	PF	0	18	21.9	10.1	6.6	2.1	0.44	0.28	1.67
255	JaMychalGreen	Mem	PF	27	55	28	10.3	8.4	1.4	0.58	0.45	1.38
290	JohnCollins	Atl	PF	20	74	24.1	10.5	7.3	1.3	0.64	1.08	1.42
250	JamesJohnson	Mia	PF	30	73	26.6	10.8	4.9	3.8	0.96	0.71	1.95
179	ErsanIlyasova	Atl	PF	30	46	25.6	10.9	5.5	1.1	0.96	0.37	0.93
158	DraymondGreen	Gol	PF	27	70	32.7	11	7.6	7.3	1.34	1.3	2.89
428	MontrezlHarrell	Lac	PF	24	76	17	11	4	1	0.47	0.68	0.89
400	MarkieffMorris	Was	PF	28	73	27	11.5	5.6	1.9	0.78	0.51	1.74
152	DomantasSabonis	Ind	PF	21	74	24.5	11.6	7.7	2	0.54	0.43	1.85
535	ThaddeusYoung	Ind	PF	29	81	32.2	11.8	6.3	1.9	1.67	0.44	1.3
151	DirkNowitzki	Dal	PF	39	77	24.7	12	5.7	1.6	0.56	0.58	0.66
528	TajGibson	Min	PF	32	82	33.2	12.2	7.1	1.2	0.76	0.72	1.09
135	DerrickFavors	Uta	PF	26	77	28	12.3	7.2	1.3	0.7	1.06	1.14
511	SergeIbaka	Tor	PF	28	76	27.5	12.6	6.3	0.8	0.38	1.3	1.18
50	BobbyPortis	Chi	PF	22	73	22.5	13.2	6.8	1.7	0.67	0.32	1.41
603	ZachRandolph	Sac	PF	36	59	25.6	14.5	6.7	2.2	0.71	0.17	1.97
110	DarioSaric	Phi	PF	23	78	29.6	14.6	6.7	2.6	0.65	0.26	1.9
447	NikolaMirotic	Nor	PF	26	30	29.1	14.6	8.2	1.4	0.97	0.87	1.07
467	PaulMillsap	Den	PF	32	38	29.5	14.6	6.4	2.8	1.03	1.16	1.92
365	LauriMarkkanen	Chi	PF	20	68	29.7	15.2	7.5	1.2	0.57	0.59	1.22
319	JuliusRandle	Lal	PF	23	82	26.7	16.1	8	2.6	0.52	0.55	2.6
352	KyleKuzma	Lal	PF	22	77	31.2	16.1	6.3	1.8	0.64	0.44	1.82
446	NikolaMirotic	Chi	PF	26	25	24.9	16.8	6.4	1.6	0.6	0.52	1.24
340	KevinLove	Cle	PF	29	59	28	17.6	9.3	1.7	0.73	0.41	1.53
545	TobiasHarris	Det	PF	25	48	32.6	18.1	5.1	2	0.71	0.31	1.06
445	NikolaJokic	Den	PF	22	75	32.6	18.5	10.7	6.1	1.2	0.81	2.79
546	TobiasHarris	Lac	PF	25	32	34.5	19.3	6	3.1	1.16	0.63	1.66
46	BlakeGriffin	Det	PF	28	25	33.2	19.8	6.6	6.2	0.44	0.36	2.64
343	KhrisMiddleton	Mil	PF	26	82	36.4	20.1	5.2	4	1.45	0.26	2.33
45	BlakeGriffin	Lac	PF	28	33	34.5	22.6	7.9	5.4	0.91	0.27	3
348	KristapsPorzingis	Nyk	PF	22	48	32.4	22.7	6.6	1.2	0.75	2.4	1.94
357	LaMarcusAldridge	San	PF	32	75	33.4	23.1	8.5	2	0.57	1.2	1.48
200	GiannisAntetokounmpo	Mil	PF	23	75	36.8	26.9	10	4.8	1.45	1.41	2.97
30	AnthonyDavis	Nor	PF	24	75	36.4	28.1	11.1	2.3	1.53	2.57	2.16
431	NateWolters	Uta	PG	26	5	3.8	0.4	0.4	0.2	0	0	0
367	LondonPerrantes	Cle	PG	23	14	4.7	0.5	0.3	0.4	0.14	0.07	0.07
597	XavierMunford	Mil	PG	25	6	3.5	0.5	0.2	0.7	0.17	0	0.33
130	DemetriusJackson	Hou	PG	23	12	5.2	0.7	0.9	0.4	0.33	0.08	0.83
230	JacobPullen	Phi	PG	28	3	2	0.7	0	0	0	0	0.33
361	LarryDrewII	Phi	PG	27	3	4.9	0.7	0.3	0.7	0	0	0.33
320	JulyanStone	Cha	PG	29	23	7.6	0.8	1.3	1.1	0.17	0.09	0.3
331	KayFelder	Det	PG	22	2	2.9	1	2	0	0	0	0.5
419	MikeJames	Nor	PG	27	4	4.5	1	0.3	1.5	0.25	0	0.25
469	PJDozier	Okc	PG	21	2	1.6	1	0.5	0	0	0	0.5
140	DerrickWaltonJr.	Mia	PG	22	16	9.2	1.8	1	1	0.44	0.19	0.13
59	BrianteWeber	Hou	PG	25	13	9.1	2	1.4	1	0.77	0.23	0.54
166	EdmondSumner	Ind	PG	22	1	2.2	2	1	0	0	0	0
