Min
TreyBurke,36.00,21.80,12.80,2.00,4.70,0.67,0.11,1.19
MindaugasKuzminskas,1.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00
DougMcDermott,55.00,21.30,7.20,2.40,0.90,0.18,0.22,0.62
TroyWilliams,17.00,17.10,7.50,3.50,0.90,1.12,0.24,1.06
MichaelBeasley,74.00,22.30,13.20,5.60,1.70,0.49,0.58,1.93
RonBaker,29.00,13.30,2.40,1.00,1.60,0.90,0.21,0.62
DamyeanDotson,44.00,10.80,4.10,1.90,0.70,0.27,0.05,0.39
CourtneyLee,76.00,30.40,12.00,2.90,2.40,1.05,0.22,1.11
TimHardawayJr.,57.00,33.10,17.50,3.90,2.70,1.11,0.18,1.61

Okc
DakariJohnson,31.00,5.20,1.80,1.10,0.30,0.19,0.26,0.10
StevenAdams,76.00,32.70,13.90,9.00,1.20,1.21,1.03,1.68
NickCollison,15.00,5.00,2.10,1.30,0.30,0.00,0.00,0.47
PatrickPatterson,82.00,15.50,3.90,2.30,0.70,0.59,0.28,0.40
PJDozier,2.00,1.60,1.00,0.50,0.00,0.00,0.00,0.50
RaymondFelton,82.00,16.60,6.90,1.90,2.50,0.60,0.20,0.93
RussellWestbrook,80.00,36.40,25.40,10.10,10.30,1.84,0.25,4.76
KyleSingler,12.00,4.90,1.90,0.80,0.20,0.08,0.00,0.25
JoshHuestis,69.00,14.20,2.30,2.30,0.30,0.22,0.62,0.38
AndreRoberson,39.00,26.60,5.00,4.70,1.20,1.15,0.90,0.77
JeramiGrant,81.00,20.30,8.40,3.90,0.70,0.38,0.95,0.67
CoreyBrewer,18.00,28.60,10.10,3.40,1.30,2.11,0.33,0.61
CarmeloAnthony,78.00,32.10,16.20,5.80,1.30,0.60,0.63,1.27
PaulGeorge,79.00,36.60,21.90,5.70,3.30,2.04,0.49,2.68
DanielHamilton,6.00,4.60,2.00,0.80,1.30,0.17,0.00,0.33
TerranceFerguson,61.00,12.50,3.10,0.80,0.30,0.39,0.16,0.18
AlexAbrines,75.00,15.10,4.70,1.50,0.40,0.51,0.11,0.33

Mil
MarshallPlumlee,8.00,6.50,1.80,2.10,0.30,0.00,0.13,0.38
TylerZeller,24.00,16.90,5.90,4.60,0.80,0.29,0.54,0.50
GregMonroe,5.00,15.90,6.80,5.00,1.00,0.00,0.00,1.20
JohnHenson,76.00,25.90,8.80,6.80,1.50,0.59,1.43,1.11
D.J.Wilson,22.00,3.20,1.00,0.50,0.10,0.14,0.05,0.18
JoelBolomboy,6.00,6.30,1.50,1.70,0.00,0.33,0.00,0.33
ThonMaker,74.00,16.70,4.80,3.00,0.60,0.51,0.72,0.59
MirzaTeletovic,10.00,15.90,7.10,2.30,1.00,0.40,0.10,0.70
KhrisMiddleton,82.00,36.40,20.10,5.20,4.00,1.45,0.26,2.33
GiannisAntetokounmpo,75.00,36.80,26.90,10.00,4.80,1.45,1.41,2.97
XavierMunford,6.00,3.50,0.50,0.20,0.70,0.17,0.00,0.33
GaryPaytonII,12.00,8.80,2.50,1.40,0.80,0.25,0.08,0.25
MatthewDellavedova,38.00,18.70,4.30,1.70,3.80,0.37,0.00,1.29
BrandonJennings,14.00,14.70,5.20,2.20,3.10,0.43,0.29,1.29
EricBledsoe,71.00,31.50,17.80,3.90,5.10,2.04,0.56,2.90
TonySnell,75.00,27.40,6.90,1.90,1.30,0.63,0.37,0.48
ShabazzMuhammad,11.00,10.60,8.50,2.80,0.60,0.36,0.09,0.09
JabariParker,31.00,24.00,12.60,4.80,1.90,0.81,0.32,1.45
DeAndreLiggins,31.00,15.50,1.80,1.60,0.90,0.87,0.32,0.42
RashadVaughn,22.00,7.90,2.70,0.80,0.50,0.18,0.14,0.18
JasonTerry,51.00,16.00,3.30,0.90,1.20,0.82,0.24,0.49
SeanKilpatrick,23.00,8.90,4.00,1.10,0.70,0.22,0.04,0.39
SterlingBrown,54.00,14.40,4.00,2.60,0.50,0.57,0.24,0.46
MalcolmBrogdon,48.00,29.90,13.00,3.30,3.20,0.85,0.27,1.38

Por
GeorgiosPapagiannis,1.00,3.70,2.00,1.00,0.00,2.00,0.00,0.00
ZachCollins,66.00,15.80,4.40,3.30,0.80,0.26,0.47,0.89
JusufNurkic,79.00,26.40,14.30,9.00,1.80,0.81,1.39,2.32
CalebSwanigan,27.00,7.00,2.30,2.00,0.50,0.19,0.11,0.67
MeyersLeonard,33.00,7.70,3.40,2.10,0.50,0.21,0.00,0.30
NoahVonleh,33.00,14.40,3.60,5.10,0.40,0.18,0.33,0.45
EdDavis,78.00,18.90,5.30,7.40,0.50,0.41,0.67,0.85
WadeBaldwinIV,7.00,11.50,5.40,1.10,0.70,0.29,0.14,0.57
ShabazzNapier,74.00,20.80,8.70,2.30,2.00,1.09,0.19,1.22
DamianLillard,73.00,36.60,26.90,4.50,6.60,1.05,0.37,2.82
JakeLayman,34.00,4.70,1.00,0.50,0.30,0.18,0.12,0.15
MauriceHarkless,59.00,21.40,6.50,2.70,0.90,0.81,0.73,0.68
Al-FarouqAminu,69.00,30.00,9.30,7.60,1.20,1.14,0.58,1.14
PatConnaughton,82.00,18.10,5.40,2.00,1.10,0.28,0.27,0.52
EvanTurner,79.00,25.70,8.20,3.10,2.20,0.59,0.37,1.25
CJMcCollum,81.00,36.10,21.40,4.00,3.40,0.95,0.43,1.86

Sac
GeorgiosPapagiannis,16.00,7.40,2.10,2.30,0.60,0.13,0.38,0.50
KostaKoufos,71.00,19.60,6.70,6.60,1.20,0.66,0.45,0.69
WillieCauley-Stein,73.00,28.00,12.80,7.00,2.40,1.05,0.92,1.49
JackCooley,7.00,12.50,5.70,4.30,0.90,0.14,0.00,0.43
SkalLabissiere,60.00,20.70,8.70,4.80,1.20,0.42,0.82,1.22
ZachRandolph,59.00,25.60,14.50,6.70,2.20,0.71,0.17,1.97
FrankMason,52.00,18.90,7.90,2.50,2.80,0.65,0.19,1.25
GeorgeHill,43.00,26.60,10.30,2.70,2.80,0.91,0.28,1.40
De'AaronFox,73.00,27.70,11.60,2.80,4.40,0.96,0.27,2.37
BrunoCaboclo,10.00,10.00,2.60,2.10,0.30,0.20,0.40,0.40
NigelHayes,5.00,21.10,3.60,4.40,0.80,0.40,0.60,0.20
JaKarrSampson,22.00,15.60,4.70,3.50,0.40,0.36,1.00,0.36
JustinJackson,68.00,22.20,6.70,2.80,1.10,0.41,0.19,0.59
MalachiRichardson,25.00,12.70,3.50,1.30,0.50,0.40,0.04,0.40
VinceCarter,58.00,17.70,5.40,2.60,1.20,0.72,0.45,0.62
GarrettTemple,65.00,24.80,8.40,2.30,1.90,0.88,0.42,1.22
BogdanBogdanovic,78.00,27.90,11.80,2.90,3.30,0.92,0.21,1.60
BuddyHield,80.00,25.30,13.50,3.80,1.90,1.06,0.28,1.55

Tor
LucasNogueira,49.00,8.50,2.50,1.80,0.40,0.47,0.88,0.33
JakobPoeltl,82.00,18.60,6.90,4.80,0.70,0.48,1.22,1.04
JonasValanciunas,77.00,22.40,12.70,8.60,1.10,0.38,0.90,1.48
AlfonzoMcKinnie,14.00,3.80,1.50,0.50,0.10,0.07,0.07,0.21
LorenzoBrown,14.00,9.90,2.30,1.10,0.90,0.36,0.00,0.21
PascalSiakam,81.00,20.70,7.30,4.50,2.00,0.77,0.52,0.83
SergeIbaka,76.00,27.50,12.60,6.30,0.80,0.38,1.30,1.18
DelonWright,69.00,20.80,8.00,2.90,2.90,1.04,0.48,1.13
FredVanVleet,76.00,20.00,8.60,2.40,3.20,0.89,0.25,0.97
KyleLowry,78.00,32.20,16.20,5.60,6.90,1.09,0.24,2.35
BrunoCaboclo,2.00,3.40,0.00,0.50,0.50,0.50,0.00,0.00
MalcolmMiller,15.00,8.40,2.50,1.10,0.20,0.07,0.13,0.33
NigelHayes,2.00,3.10,3.00,0.00,0.00,0.00,0.00,0.50
OGAnunoby,74.00,20.00,5.90,2.50,0.70,0.70,0.19,0.61
CJMiles,70.00,19.10,10.00,2.20,0.80,0.53,0.30,0.56
MalachiRichardson,1.00,4.70,2.00,1.00,0.00,0.00,0.00,0.00
NormanPowell,70.00,15.20,5.50,1.70,1.30,0.53,0.23,0.94
DeMarDeRozan,80.00,33.90,23.00,3.90,5.20,1.06,0.28,2.20

Cle
KendrickPerkins,1.00,14.50,3.00,1.00,2.00,1.00,0.00,1.00
ChanningFrye,44.00,12.40,4.80,2.50,0.60,0.39,0.27,0.39
TristanThompson,53.00,20.20,5.80,6.60,0.60,0.30,0.32,0.68
